STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,unit,Unit of measure,TIME_PERIOD,Time,geo,Geopolitical entity (reporting),ind_type,Individual type,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,DIS_LTD,"Disability (activity limitation) - limited, but not severely",91.13,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,DIS_LTD_SEV,Disability (activity limitation) - limited or severely limited,88.86,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,DIS_NONE,Disability (activity limitation) - not limited at all,95.58,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,DIS_SEV,Disability (activity limitation) - severely limited,84.53,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,F_DIS_LTD,"Females with disability (activity limitation) - limited, but not severely",90.16,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,F_DIS_LTD_SEV,Females with disability (activity limitation) - limited or severely limited,87.80,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,F_DIS_NONE,Females with disability (activity limitation) - not limited at all,95.26,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,F_DIS_SEV,Females with disability (activity limitation) - severely limited,83.67,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,M_DIS_LTD,"Males with disability (activity limitation) - limited, but not severely",92.11,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,DE,Germany,M_DIS_LTD_SEV,Males with disability (activity limitation) - limited or severely limited,89.99,,,,,
